Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-26,140.956,140.956,139.035,140.187,883800,0.0,0.0
2021-08-27,140.344,143.357,139.721,141.99,876400,0.0,0.0
2021-08-30,141.99,144.298,141.0,143.979,859600,0.0,0.0
2021-08-31,143.95,144.533,141.287,141.567,2022400,0.1,0.0
2021-09-01,142.15,144.112,140.174,143.611,1131200,0.0,0.0
2021-09-02,144.156,147.108,143.749,147.044,1272400,0.0,0.0
2021-09-03,147.161,149.167,145.975,147.662,913800,0.0,0.0
2021-09-07,147.975,149.035,146.97,148.059,1366400,0.0,0.0
2021-09-08,147.833,147.833,144.989,146.965,1207000,0.0,0.0
2021-09-09,145.377,145.524,139.968,142.023,2359400,0.0,0.0
2021-09-10,143.131,144.19,142.597,142.91,1379200,0.0,0.0
2021-09-13,144.278,144.278,140.9,142.131,1242600,0.0,0.0
2021-09-14,142.734,142.734,141.175,141.537,1138000,0.0,0.0
2021-09-15,141.944,143.871,139.86,142.577,1424200,0.0,0.0
2021-09-16,142.709,143.577,142.273,142.93,861400,0.0,0.0
2021-09-17,142.533,143.155,141.214,142.023,1978200,0.0,0.0
2021-09-20,139.542,143.023,139.169,142.925,1287400,0.0,0.0
2021-09-21,144.553,147.137,143.587,146.215,1834200,0.0,0.0
2021-09-22,146.583,147.544,145.107,145.494,1122200,0.0,0.0
2021-09-23,146.254,148.348,146.245,146.936,1046200,0.0,0.0
2021-09-24,146.534,148.662,145.823,148.554,805000,0.0,0.0
2021-09-27,148.402,149.098,146.009,146.377,917600,0.0,0.0
2021-09-28,145.367,145.445,143.249,143.915,930000,0.0,0.0
2021-09-29,145.166,145.74,142.709,143.749,914600,0.0,0.0
2021-09-30,144.661,145.759,139.91,140.223,1729200,0.0,0.0
2021-10-01,140.969,141.184,136.806,140.003,1021400,0.0,0.0
2021-10-04,139.934,140.723,138.522,138.939,1085800,0.0,0.0
2021-10-05,139.875,142.675,139.341,141.998,1440000,0.0,0.0
2021-10-06,141.292,143.729,140.547,143.587,675400,0.0,0.0
2021-10-07,144.504,145.887,143.518,144.018,1162800,0.0,0.0
2021-10-08,143.842,145.053,140.012,141.052,1072600,0.0,0.0
2021-10-11,141.689,142.16,140.557,140.699,556200,0.0,0.0
2021-10-12,141.13,141.699,139.091,140.12,745400,0.0,0.0
2021-10-13,140.321,140.743,138.458,139.63,776000,0.0,0.0
2021-10-14,141.533,145.112,140.503,144.93,1079800,0.0,0.0
2021-10-15,146.313,149.446,145.994,148.328,1243400,0.0,0.0
2021-10-18,148.328,150.986,148.328,150.858,874000,0.0,0.0
2021-10-19,152.128,152.707,149.706,151.035,619800,0.0,0.0
2021-10-20,151.854,153.962,151.02,153.56,977600,0.0,0.0
2021-10-21,154.242,156.904,153.766,156.262,1116400,0.0,0.0
2021-10-22,156.904,158.787,156.904,157.752,1081400,0.0,0.0
2021-10-25,158.135,160.915,157.836,159.209,1085600,0.0,0.0
2021-10-26,160.493,161.562,158.939,159.729,1129000,0.0,0.0
2021-10-27,154.34,161.44,149.608,158.812,1261400,0.0,0.0
2021-10-28,160.111,164.686,160.062,164.269,843800,0.0,0.0
2021-10-29,163.18,168.751,163.18,167.373,1046400,0.0,0.0
2021-11-01,168.549,169.77,166.912,169.128,1051000,0.0,0.0
2021-11-02,169.251,171.325,166.392,170.099,952400,0.0,0.0
2021-11-03,169.746,171.217,167.814,170.795,1091200,0.0,0.0
2021-11-04,170.967,175.801,169.942,174.193,1311400,0.0,0.0
2021-11-05,175.061,176.831,166.475,171.04,1689400,0.0,0.0
2021-11-08,171.565,172.595,168.898,172.325,1047800,0.0,0.0
2021-11-09,170.074,173.35,170.074,172.565,1409200,0.0,0.0
2021-11-10,172.565,172.957,168.255,169.167,999600,0.0,0.0
2021-11-11,170.094,171.462,169.192,171.305,594600,0.0,0.0
2021-11-12,171.614,177.302,171.496,175.233,1044800,0.0,0.0
2021-11-15,175.149,176.772,174.267,176.36,985600,0.0,0.0
2021-11-16,175.537,178.513,174.595,177.179,1151400,0.0,0.0
2021-11-17,177.101,178.008,173.894,176.973,978000,0.0,0.0
2021-11-18,177.071,177.748,172.452,172.595,1588600,0.0,0.0
2021-11-19,172.384,173.732,171.212,172.506,1492800,0.0,0.0
2021-11-22,173.776,176.488,173.1,173.757,960400,0.0,0.0
2021-11-23,173.433,175.331,171.388,174.041,1110400,0.0,0.0
2021-11-24,173.114,176.238,171.447,175.944,885600,0.0,0.0
2021-11-26,172.859,176.047,171.619,172.624,744800,0.0,0.0
2021-11-29,175.934,178.886,174.752,175.154,1376200,0.0,0.0
2021-11-30,175.316,176.341,173.162,174.247,2610200,0.1,0.0
2021-12-01,176.484,178.196,171.887,171.916,1873600,0.0,0.0
2021-12-02,171.774,175.924,169.753,175.169,1261600,0.0,0.0
2021-12-03,175.733,178.314,172.981,176.116,1267400,0.0,0.0
2021-12-06,176.881,177.568,170.901,173.246,1617400,0.0,0.0
2021-12-07,174.987,183.278,174.453,178.579,2010000,0.0,0.0
2021-12-08,178.755,181.659,174.683,175.051,1531000,0.0,0.0
2021-12-09,174.943,177.44,173.854,174.04,1324400,0.0,0.0
2021-12-10,174.835,176.749,174.045,174.796,1311800,0.0,0.0
2021-12-13,176.955,177.313,171.058,176.086,1771000,0.0,0.0
2021-12-14,175.12,175.64,169.87,172.731,1176800,0.0,0.0
2021-12-15,173.619,174.87,171.7,173.462,1142200,0.0,0.0
2021-12-16,174.502,176.493,171.794,172.299,1483400,0.0,0.0
2021-12-17,171.71,171.744,166.103,167.108,2370600,0.0,0.0
2021-12-20,164.631,166.068,160.52,163.787,1572800,0.0,0.0
2021-12-21,165.018,166.75,162.806,166.529,1091000,0.0,0.0
2021-12-22,166.333,169.076,166.019,168.781,1192000,0.0,0.0
2021-12-23,169.237,171.386,169.085,170.881,787800,0.0,0.0
2021-12-27,171.381,174.59,171.381,174.457,601200,0.0,0.0
2021-12-28,174.909,175.885,174.173,174.968,741200,0.0,0.0
2021-12-29,175.208,177.435,174.536,177.014,541800,0.0,0.0
2021-12-30,178.049,178.049,174.614,174.786,488200,0.0,0.0
2021-12-31,174.663,176.464,173.457,175.821,589600,0.0,0.0
2022-01-03,175.664,176.616,167.839,169.929,1576800,0.0,0.0
2022-01-04,170.297,174.86,168.801,174.153,1725800,0.0,0.0
2022-01-05,173.673,174.134,167.511,167.923,1783200,0.0,0.0
2022-01-06,167.344,168.526,165.587,167.879,1536200,0.0,0.0
2022-01-07,167.187,167.653,162.521,163.174,2020600,0.0,0.0
2022-01-10,161.579,162.197,158.013,161.982,1920400,0.0,0.0
2022-01-11,159.843,160.436,156.104,159.676,1766000,0.0,0.0
2022-01-12,160.917,161.074,156.202,159.102,2267800,0.0,0.0
2022-01-13,160.358,160.554,155.251,155.928,1835600,0.0,0.0
