Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-09,27.098,27.271,26.343,26.697,20585200,0.0,0.0
2021-03-10,26.688,27.352,26.379,27.243,18685600,0.0,0.0
2021-03-11,27.362,27.662,26.679,26.743,13239500,0.0,0.0
2021-03-12,26.761,26.925,26.27,26.388,12829500,0.0,0.0
2021-03-15,26.516,26.825,26.07,26.488,7888000,0.0,0.0
2021-03-16,26.143,26.188,25.315,25.524,11347200,0.0,0.0
2021-03-17,25.315,25.852,25.078,25.751,11302800,0.0,0.0
2021-03-18,25.479,26.197,24.715,24.787,14585300,0.0,0.0
2021-03-19,24.796,25.106,24.405,24.605,22577500,0.0,0.0
2021-03-22,24.605,25.351,24.332,25.151,19700200,0.0,0.0
2021-03-23,24.542,25.278,24.087,24.26,14459000,0.0,0.0
2021-03-24,24.815,25.469,24.705,24.942,13642400,0.0,0.0
2021-03-25,24.351,25.042,23.823,24.924,14595800,0.0,0.0
2021-03-26,25.324,25.788,25.106,25.751,11722600,0.0,0.0
2021-03-29,25.679,25.943,25.006,25.197,11397400,0.0,0.0
2021-03-30,24.906,25.278,24.687,24.76,11439700,0.0,0.0
2021-03-31,24.76,24.906,24.478,24.733,11046300,0.0,0.0
2021-04-01,24.969,25.597,24.66,25.56,10463300,0.0,0.0
2021-04-05,25.724,25.742,24.878,25.06,9880900,0.0,0.0
2021-04-06,25.115,25.779,24.915,24.96,9306600,0.0,0.0
2021-04-07,25.024,25.197,24.696,24.878,7973300,0.0,0.0
2021-04-08,24.56,24.724,24.05,24.614,10548700,0.0,0.0
2021-04-09,24.66,24.769,24.032,24.342,8624800,0.0,0.0
2021-04-12,24.442,24.651,23.941,24.141,10969200,0.0,0.0
2021-04-13,23.869,24.078,23.523,23.687,13688500,0.0,0.0
2021-04-14,23.887,25.269,23.887,24.842,14755400,0.0,0.0
2021-04-15,24.751,24.887,24.169,24.251,9107100,0.0,0.0
2021-04-16,24.46,24.523,23.878,23.914,9234300,0.0,0.0
2021-04-19,24.005,24.36,23.878,24.132,7711200,0.0,0.0
2021-04-20,23.796,23.95,22.759,22.968,12657300,0.0,0.0
2021-04-21,22.513,23.459,22.304,23.405,13113300,0.0,0.0
2021-04-22,23.377,23.441,22.923,22.968,16091800,0.0,0.0
2021-04-23,22.568,23.632,22.349,23.386,12875200,0.0,0.0
2021-04-26,23.523,24.269,23.423,23.987,13934000,0.0,0.0
2021-04-27,24.014,24.205,23.332,23.814,13033500,0.0,0.0
2021-04-28,23.987,25.006,23.796,24.887,10643900,0.0,0.0
