Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-24,115.921,116.692,114.2,114.581,1243500,0.0,0.0
2021-02-25,114.454,116.328,112.902,113.92,1386600,0.0,0.0
2021-02-26,114.395,116.997,114.038,114.225,2722100,0.0,0.0
2021-03-01,114.954,116.167,112.165,112.724,1930900,0.0,0.0
2021-03-02,112.657,113.445,110.113,111.164,1761900,0.0,0.0
2021-03-03,110.639,111.063,106.078,106.535,2075700,0.0,0.0
2021-03-04,106.951,111.097,105.679,109.367,2959700,0.0,0.0
2021-03-05,109.367,112.411,107.103,111.911,2783300,0.0,0.0
2021-03-08,111.885,114.454,110.24,112.063,2053600,0.0,0.0
2021-03-09,113.216,116.531,112.97,114.522,1728900,0.0,0.0
2021-03-10,114.98,115.963,113.844,114.751,1811900,0.0,0.0
2021-03-11,115.005,116.345,113.937,114.327,1648800,0.0,0.0
2021-03-12,112.539,114.865,111.359,114.754,2864000,1.16,0.0
2021-03-15,115.088,116.003,114.669,115.507,2388700,0.0,0.0
2021-03-16,115.875,116.653,115.541,116.029,1737300,0.0,0.0
2021-03-17,115.661,116.071,114.618,115.173,1782900,0.0,0.0
2021-03-18,114.318,115.498,113.104,114.729,1174300,0.0,0.0
2021-03-19,114.729,117.662,114.079,114.173,2355000,0.0,0.0
2021-03-22,114.455,116.995,114.173,116.773,1422300,0.0,0.0
2021-03-23,117.268,119.894,116.798,119.723,1629100,0.0,0.0
2021-03-24,119.03,120.655,118.107,119.8,2166100,0.0,0.0
2021-03-25,119.783,120.347,117.816,118.32,1763100,0.0,0.0
2021-03-26,118.243,122.374,117.705,122.211,1867300,0.0,0.0
2021-03-29,122.246,124.041,120.638,123.614,1270500,0.0,0.0
2021-03-30,122.861,123.246,120.373,120.783,1322800,0.0,0.0
2021-03-31,120.296,121.75,118.611,120.441,1600700,0.0,0.0
2021-04-01,121.142,122.605,120.193,122.502,1334100,0.0,0.0
2021-04-05,122.75,124.743,122.049,124.657,1268000,0.0,0.0
2021-04-06,124.349,124.554,122.348,123.716,1266600,0.0,0.0
2021-04-07,124.221,124.298,121.878,122.203,1726700,0.0,0.0
2021-04-08,123.186,124.691,121.142,121.331,1510700,0.0,0.0
